
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-07-20;46.937,15;7013860245860;49.021,09;7156690257329;44.942,40;10023009847517;48.526,06;2368933703733;75.089,02;1032669941594;45.080,84;5660200209407;49.373,99;51852459576
2020-07-21;46.932,00;7010709389996;49.015,02;7149114116061;44.925,42;10004724383140;48.468,41;2367945985620;75.048,03;1032559833570;45.083,05;5659399423362;49.337,75;51849713634
2020-07-22;46.930,57;6949739307923;49.035,19;7127596893164;44.918,53;9938369999342;48.516,84;2371974502708;75.060,54;1032403088045;45.108,94;5655584644901;49.363,15;51810634375
2020-07-23;46.990,49;6946968803471;49.128,48;7137041491646;45.002,27;9943054345160;48.627,21;2382338252311;75.203,46;1035115004934;45.209,18;5666052961771;49.466,75;51887100798
2020-07-24;47.255,67;7139980684867;49.442,12;7338093142314;45.279,38;10205491372903;48.956,13;2458187411523;75.678,12;1053412618119;45.493,95;5809742795128;49.797,20;53533515944
2020-07-25;47.255,67;7139980684867;49.442,12;7338093142314;45.279,38;10205491372903;48.956,13;2458187411523;75.678,12;1053412618119;45.493,95;5809742795128;49.797,20;53533515944
2020-07-26;47.255,67;7139980684867;49.442,12;7338093142314;45.279,38;10205491372903;48.956,13;2458187411523;75.678,12;1053412618119;45.493,95;5809742795128;49.797,20;53533515944
2020-07-27;47.368,75;7156219585655;49.565,29;7379980444896;45.387,58;10255548164530;49.102,85;2477491938300;75.871,11;1058135715098;45.616,74;5841736515520;49.928,95;53770121689
2020-07-28;47.255,78;7132555504024;49.432,14;7363690520505;45.292,06;10230715057304;48.961,55;2481611898032;75.697,58;1058640303005;45.489,68;5836371579981;49.774,46;53809618947
2020-07-29;47.315,32;7131910375571;49.456,78;7365194815257;45.311,36;10209382937309;48.987,76;2486146172654;75.755,74;1059884106520;45.531,23;5844285616498;49.785,26;53826199386
2020-07-30;47.297,76;7116900599481;49.472,88;7363759630858;45.329,11;10186863809855;48.977,60;2486021252990;75.748,99;1059790283876;45.524,80;5843108955099;49.812,66;53969118336
2020-07-31;47.199,08;7098851275459;49.345,15;7350888250962;45.217,53;10160003449167;48.839,05;2486417248512;75.563,83;1056940075651;45.406,76;5833718186483;49.692,69;53641944059
